This file was created by CMPT_ME_PRIOR_RETS using the 201509 CRSP database.
It contains value- weighted returns for the intersections of  2 ME portfolios
and  3 prior return portfolios.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  PRIOR_RET is from - 1 to - 1.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
               Small                 Big         
          Low     2    High    Low     2    High 
200209 -10.23  -5.94  -9.39 -11.13  -8.69  -9.64
200210  10.43   1.93   1.52   8.71   4.59   3.29
200211  17.47   8.97  16.45   9.42   4.66  10.41
200212  -2.33  -1.72 -10.86   0.00  -3.20 -11.06
200301   1.71   0.24   0.45  -1.97  -2.40  -2.92
200302  -4.29  -2.38  -2.17  -2.72  -1.53  -2.42
200303   1.31   1.19   1.59   0.66   0.76   0.85
200304  12.22   7.97  11.09  10.96   7.09   8.70
200305  15.47  11.87  19.01   9.90   7.43  10.36
200306   6.70   3.99   7.64   1.83   0.99   0.51
200307   9.70   7.93   7.58   3.67   2.46   3.62
200308   6.30   4.04   5.72   4.66   3.88   5.32
200309   4.63   2.24   2.81   0.56  -1.37  -4.00
200310   8.72   7.51   9.58   9.62   7.04   7.12
200311   3.27   4.54   4.77   2.45   2.54   2.84
200312   4.45   3.40   3.15   3.79   3.41   1.34
200401  10.14   6.78   6.62   3.97   2.44   1.10
200402   0.93   2.29  -0.22   2.84   2.24   1.58
200403  -0.63   0.57   1.89  -1.26   0.18   0.08
200404  -4.00  -2.53  -2.83  -4.44  -2.06  -2.04
200405   0.14  -1.37  -0.17   3.49   1.41   0.67
200406   2.46   2.85   2.15   2.75   2.80   2.04
200407  -7.71  -5.75  -7.32  -5.15  -4.78  -4.06
200408  -2.10  -1.19  -1.16  -2.73   0.85  -0.12
200409   5.52   3.74   3.43   5.02   2.16   2.84
200410   1.90   2.24   1.59   2.60   2.00   2.05
200411  10.79   8.64   8.76   8.25   5.45   5.09
200412   7.80   5.23   6.03   4.91   3.55   3.72
200501  -2.89  -2.92  -5.32  -1.29  -2.91  -2.57
200502  -0.55   1.32   1.84   0.71   2.22   4.72
200503  -4.74  -1.94  -2.77  -1.70  -0.83  -1.70
200504  -7.34  -5.34  -5.79  -4.60  -2.72  -3.75
200505   6.57   4.28   3.55   6.32   5.12   3.87
200506   4.45   4.16   2.80   1.64   2.15   2.10
200507   7.35   6.94   6.24   5.41   4.55   5.75
200508  -1.16  -1.30  -1.16  -0.45  -1.32  -0.08
200509  -0.15   0.12   1.79  -0.35   0.59   2.69
200510  -4.28  -2.69  -3.22  -2.02  -2.19  -3.25
200511   4.43   2.57   3.25   4.12   5.07   4.51
200512   1.10   0.67   1.00   1.63   0.83   0.26
200601  10.35   7.13   8.38   4.69   3.79   6.10
200602   1.16   1.28  -0.63   1.94   0.45  -3.24
200603   4.93   3.40   5.49   3.25   1.76   3.35
200604  -0.10   0.59   1.19   1.11   1.20   1.13
200605  -6.25  -3.65  -5.49  -4.92  -2.92  -3.42
200606  -2.11  -0.60  -0.30  -1.14   0.46   0.58
200607  -3.94  -2.97  -4.15  -2.90  -1.61  -3.45
200608   2.79   1.94   1.19   3.31   1.70   1.94
200609   1.04   1.17  -0.02   1.64   1.76   2.10
200610   5.60   4.99   5.16   4.07   3.62   3.98
200611   2.77   2.41   2.84   3.04   2.90   4.09
200612   1.96   1.83   0.40   1.33   0.71  -0.68
200701   2.94   1.44   2.19   3.90   2.69   2.63
200702   0.14   1.07  -0.68   0.62   0.06   0.02
200703  -1.43   0.56   1.33   0.09   1.48   2.03
200704   1.75   1.78   2.61   4.20   3.38   4.83
200705   1.81   2.08   2.03   3.66   3.93   4.88
200706  -0.64  -0.78   0.08  -2.57  -1.32  -0.26
200707  -7.35  -5.04  -4.07  -5.95  -3.26  -2.95
200708  -0.99  -1.10  -2.01  -2.75   0.75   0.54
200709   1.33   0.58   1.79   2.56   2.96   3.74
200710  -0.25   0.30   3.05  -0.17   1.13   4.61
200711 -10.10  -8.00  -9.10  -7.13  -3.69  -5.25
200712  -1.76  -1.16  -1.49  -3.47  -0.87   0.09
200801  -2.67  -5.45  -8.56  -1.64  -6.10  -8.30
200802  -1.80  -2.61  -4.66  -0.22  -1.26  -5.94
200803  -3.56  -1.96  -3.39  -3.06  -1.07  -1.58
200804   2.49   0.92   0.73   7.49   5.78   5.41
200805   1.88   3.64   5.83   2.62   3.11   5.81
200806 -12.01  -8.38  -7.88 -13.85  -7.68  -3.64
200807   4.88   1.58  -2.54   0.43   1.62  -6.68
200808   2.05   2.11   3.22  -0.40   2.91   2.22
200809 -13.45  -7.84 -10.52 -16.38  -9.52  -9.95
200810 -24.76 -20.51 -19.25 -25.61 -19.59 -16.34
200811 -18.09 -15.40 -12.68 -15.68  -9.26  -6.93
200812   7.71   1.48  -2.71   7.01   3.99   1.51
200901   2.06  -6.48  -7.45  -6.42  -6.93  -7.89
200902 -14.26 -11.28 -10.95 -14.79  -8.90  -8.77
200903  20.60  11.62   8.46  12.04   8.02   9.63
200904  24.11  19.30  25.66  13.95  12.10  19.90
200905  11.22  10.41  11.47   3.94   5.45   5.95
200906   5.49   3.81   3.97   2.78   1.12  -4.39
200907  10.85   8.60   7.40  11.03   8.97   6.35
200908   7.29   4.98   9.51   3.79   3.18   6.58
200909   7.84   5.88   8.44   6.48   5.43   5.42
200910  -6.69  -6.11  -8.46  -2.75  -3.77  -5.36
200911   0.36   2.10   0.90   5.28   5.17   5.00
200912   6.90   6.99   7.33   6.81   5.18   4.63
201001   2.37  -0.73  -1.98  -0.68  -3.67  -6.28
201002   4.57   3.94   2.70   5.34   4.68   3.52
201003   8.77   8.07   7.40   6.74   7.14   7.01
201004   8.71   8.79   8.78   2.65   3.31   4.20
201005  -8.87  -7.13  -8.96  -7.42  -7.47  -8.60
201006 -11.54  -6.76  -5.86  -8.55  -5.97  -4.72
201007   8.23   4.82   2.92   8.27   7.72   5.82
201008  -6.63  -7.52  -8.68  -5.18  -4.56  -5.20
201009  13.93  10.17   7.87  13.74  11.26   9.07
201010   4.11   4.32   4.86   3.24   3.79   4.26
201011   1.10   3.18   2.68   1.75   1.85   3.02
201012  10.37   7.92   8.22   7.49   7.00   6.26
201101   3.12   1.91   0.13   1.86   2.64   2.25
201102   3.89   3.51   4.61   4.69   4.09   4.57
201103   0.19   1.30   1.27   2.15   1.35   2.30
201104   0.36   0.89   1.91   2.55   3.22   4.13
201105  -2.83  -1.76  -2.53  -1.28  -1.14  -0.65
201106  -4.52  -1.30  -2.45  -2.48  -1.97  -1.41
201107  -1.48  -2.43  -2.88  -4.14  -3.25  -3.16
201108 -11.04  -8.86 -10.40  -8.60  -6.74  -6.47
201109 -14.11 -10.04  -9.15 -16.09 -10.22  -6.26
201110  16.98  12.64   6.39  21.17  15.17   8.60
201111  -2.66  -1.91  -1.88   0.18  -0.65  -0.37
201112  -0.60   0.18   1.11  -1.76   0.37  -0.42
201201  13.92   7.99   7.55   9.20   5.16   4.49
201202   4.64   3.96   3.46   3.31   4.82   5.34
201203   3.05   3.72   4.40   1.01   2.34   1.67
201204  -2.65  -1.08  -0.92  -1.14  -0.47  -0.82
201205  -8.83  -5.91  -5.62  -9.42  -7.11  -6.08
201206   3.18   4.40   4.49   1.64   2.95   3.48
201207  -0.08  -1.38  -2.66   0.66   0.07  -1.11
201208   3.04   1.76   2.40   5.63   2.63   3.19
201209   4.86   4.05   3.73   2.66   2.19   2.76
201210  -1.86  -1.76  -3.31  -0.38  -0.66  -1.90
201211  -0.27  -0.22  -0.20   3.51   1.77   0.69
201212   2.46   2.96   2.31   3.02   1.92   2.03
201301   9.18   6.81   6.06   6.60   6.90   7.83
201302  -0.11   1.49   2.25   0.64   1.65   1.04
201303   3.97   4.14   5.02   3.82   4.58   5.18
201304  -1.04  -0.64   0.84   0.85   0.53   0.93
201305   5.93   4.39   5.52   4.36   3.64   1.52
201306  -0.19   0.68   0.76  -0.84  -1.20  -1.74
201307   9.68   6.84   7.01   8.09   5.75   6.20
201308  -1.65  -1.46  -2.80  -2.82  -2.64  -1.44
201309   6.48   5.78   6.10   4.25   4.75   5.60
201310   1.14   2.98   2.20   2.98   4.21   3.21
201311   4.45   4.68   5.16   3.42   1.83   2.42
201312   3.51   2.64   3.00   3.31   3.02   2.54
201401   1.98  -0.46   0.92  -3.44  -2.67  -1.51
201402   4.52   3.78   4.59   5.12   5.47   5.95
201403   0.13   0.92  -0.74   0.13   0.45  -2.07
201404  -6.74  -3.26  -4.93  -3.61  -0.11  -0.15
201405  -0.46  -0.53  -0.65   1.77   2.18   1.44
201406   5.67   4.27   5.02   3.61   3.88   4.22
201407  -3.59  -4.62  -7.71  -1.92  -3.64  -4.68
201408   4.75   3.13   3.29   5.62   4.76   4.77
201409  -5.56  -5.28  -4.61  -4.14  -2.95  -3.93
201410   1.37   5.04   2.28  -1.56   3.67   2.97
201411  -2.05   0.46  -0.90  -0.84   3.27   3.39
201412   0.80   3.15   4.11  -2.55   0.68   0.98
201501  -3.29  -3.30  -4.07  -2.93  -2.46  -1.26
201502   9.92   5.17   4.70   9.40   7.45   4.68
201503   0.34   1.38  -1.56   0.21   0.11   0.12
201504   1.35  -0.21  -0.62   1.85  -0.57  -1.89
201505   2.19   0.49  -0.18   3.13   2.23  -0.18
201506  -2.49   1.95   1.48  -3.50  -1.43  -0.59
201507  -8.64  -3.23  -1.75  -1.91   0.59   2.54
201508  -3.14  -4.29  -6.00  -5.48  -5.79  -5.83
201509  -8.73  -4.53  -5.21  -6.42  -3.44  -3.70


  Average Value Weighted Returns -- Annual
               Small                 Big         
          Low     2    High    Low     2    High 
  1927  22.24  35.05  24.04  15.05  31.02  48.17
  1928  30.55  33.64  45.68  35.97  36.35  42.51
  1929 -50.78 -32.91 -42.32 -34.02  -5.94 -12.82
  1930 -37.51 -35.78 -50.17 -41.11 -26.90 -25.28
  1931 -30.88 -47.65 -65.66 -39.89 -40.09 -52.90
  1932  56.69  -4.34 -22.26 -14.71  -9.24  -4.50
  1933 231.54 135.81  46.03  41.45  62.47  67.98
  1934  39.07  19.44  -0.72  -3.79   1.62  10.63
  1935  95.48  59.01  37.07  36.57  37.67  78.13
  1936  59.91  47.69  56.57  31.75  32.44  23.88
  1937 -48.70 -48.69 -50.13 -41.12 -37.66 -26.81
  1938 104.51  34.73  -5.30  79.62  36.85   9.74
  1939  42.65   4.72 -27.35  40.38   7.62 -20.62
  1940   5.69   0.60 -21.79  -3.23  -4.25 -13.72
  1941  -9.23 -10.78 -11.60  -4.41 -15.21  -5.44
  1942  47.43  28.11  16.00  25.46  20.92   8.26
  1943  77.56  55.37  51.52  38.46  31.23  21.16
  1944  55.96  47.05  33.98  23.16  19.79  15.68
  1945  83.00  71.47  51.89  47.87  38.67  21.70
  1946  -9.94 -11.60 -11.41  -9.01  -6.97  -5.37
  1947   1.61  -0.79  -9.04   1.83   2.18   2.24
  1948   2.49  -3.85 -14.84  17.52   5.22  -7.34
  1949  30.42  19.53  10.20  23.84  19.48  21.84
  1950  50.02  41.66  24.93  27.70  30.15  27.32
  1951  22.76  17.25   4.03  29.75  22.32   9.75
  1952  12.18  11.41   2.25  21.15  16.61   6.98
  1953  -1.08  -2.32  -6.54  -1.30   2.34  -0.59
  1954  73.47  56.15  45.82  55.98  51.21  47.18
  1955  25.58  26.16  12.05  35.70  21.34  19.21
  1956   7.73   8.02   4.30   5.73   9.44   5.79
  1957 -21.87 -12.16 -20.54 -12.05 -10.59  -4.46
  1958  88.38  64.45  43.07  56.57  44.06  35.67
  1959  22.88  16.50  16.22  11.04  14.08  11.56
  1960  -2.85  -2.46  -5.71  -2.27   1.38   6.82
  1961  36.41  37.45  20.17  28.00  29.79  17.82
  1962 -15.74 -12.79 -26.00  -6.01  -9.47 -15.41
  1963  22.59  16.67   8.95  27.43  22.33  13.65
  1964  20.10  19.55  10.58  17.78  15.56  13.89
  1965  42.37  36.64  30.02  14.48  13.48  15.96
  1966   0.79  -9.72 -13.15   3.28 -10.49  -7.43
  1967  89.31  70.47  75.18  33.74  18.29  30.23
  1968  44.85  41.92  32.96  18.42  11.06   1.11
  1969 -24.56 -27.23 -26.46  -8.91  -6.24 -15.06
  1970  -5.80  -6.71 -19.71  -0.94   0.85  -2.78
  1971  32.07  19.71   9.92  20.46  16.76  12.77
  1972   6.89   5.71  -1.98  18.66  17.65  17.90
  1973 -33.17 -37.64 -42.01 -18.46 -18.45 -12.49
  1974 -14.50 -29.80 -37.36 -23.22 -28.55 -32.33
  1975  89.29  57.38  27.38  59.12  31.25  29.86
  1976  63.80  46.87  36.38  27.17  22.71  23.52
  1977  28.02  20.09  12.07  -6.41  -4.07  -5.64
  1978  33.14  20.30   9.21  14.91   7.43   3.30
  1979  52.43  39.28  32.76  23.69  18.19  24.78
  1980  48.96  34.24  30.06  35.91  31.51  44.85
  1981   2.78   9.06  -3.55  -0.82  -6.22   0.39
  1982  28.22  28.61  19.73  14.98  23.54  22.43
  1983  36.44  36.33  17.68  35.69  23.16  12.54
  1984  -3.54  -0.91 -13.11  17.39   4.74   1.81
  1985  32.94  34.50  29.29  35.16  35.82  24.81
  1986   8.84  12.41  -1.36  13.28  17.30  18.89
  1987  -7.59  -3.34 -12.17   5.08   5.28  -1.55
  1988  31.29  26.38  11.96  24.73  19.93   7.91
  1989  10.85  17.93  18.73  24.99  35.34  27.36
  1990 -24.05 -17.36 -21.81 -13.40  -6.97   7.23
  1991  60.02  45.06  43.40  27.85  33.19  37.27
  1992  17.98  20.77  16.91   8.68   9.96  14.57
  1993  19.91  21.29  15.59   6.23  11.55  10.87
  1994  -4.49  -1.56  -5.39   1.08   1.66  -2.98
  1995  31.63  26.49  30.98  41.10  41.01  32.57
  1996  15.43  19.90  16.95  23.95  24.00  16.63
  1997  26.34  35.31  20.01  38.18  34.10  20.29
  1998   6.01  -2.26 -12.74  33.02  30.44  19.06
  1999  28.86   8.59  45.93  22.92  15.02  35.71
  2000 -26.24   9.41  -1.80 -18.02  -0.51 -11.44
  2001  33.25  27.04  -4.87  10.67 -15.00 -26.04
  2002 -17.19 -11.18 -26.35 -17.41 -17.48 -37.14
  2003  68.74  49.41  61.79  41.25  25.05  24.08
  2004  25.12  19.22  14.80  11.01  13.22   8.84
  2005   4.79   6.27   5.36   6.80   7.48   8.48
  2006  20.62  16.41  12.44  16.55  14.71  12.35
  2007 -10.48  -1.91   1.77  -8.40   8.60  12.13
  2008 -46.80 -35.52 -39.65 -47.17 -29.82 -42.80
  2009  54.43  38.49  45.76  24.49  28.19  33.39
  2010  35.43  29.99  21.94  19.79  15.26  14.34
  2011  -8.75  -4.26  -7.07  -8.24   2.52   5.85
  2012  24.66  16.22  11.19  18.26  14.98  18.73
  2013  44.00  48.09  45.78  36.17  33.89  36.83
  2014  -0.10   7.47   3.35   6.06  16.39   8.00


  Average Equal Weighted Returns -- Annual
               Small                 Big         
          Low     2    High    Low     2    High 
  1927  41.28  31.34  14.96  21.65  32.09  43.29
  1928  60.55  36.80  39.31  33.91  42.19  43.54
  1929 -47.32 -40.37 -45.18 -32.51 -12.74 -22.35
  1930 -34.56 -38.48 -55.43 -38.45 -32.40 -35.10
  1931 -11.00 -47.85 -68.37 -40.76 -42.71 -58.34
  1932 161.30   2.83 -25.28 -10.25  -8.90 -10.72
  1933 404.41 164.46  62.90  99.38  78.69  85.71
  1934  54.07  26.86  -4.59  11.39   4.41  15.99
  1935 155.20  65.75  22.69  48.59  41.85  57.26
  1936  93.20  51.22  53.41  41.13  36.13  30.71
  1937 -47.43 -50.70 -54.98 -47.48 -41.05 -37.21
  1938  91.95  26.09 -16.23  85.72  42.93   5.82
  1939  47.83   5.94 -22.40  34.81   0.07 -25.60
  1940   8.25  -0.98 -33.60   2.20  -2.91 -15.19
  1941   3.22 -12.47 -16.99  -8.87 -10.19  -9.33
  1942  84.24  31.17  29.54  34.73  20.65  12.19
  1943 107.78  61.15  72.51  44.28  41.75  31.88
  1944  70.72  54.63  37.69  35.37  27.99  21.84
  1945  92.57  79.76  55.38  64.24  53.61  34.68
  1946  -9.77 -12.24 -12.39 -11.64  -6.95  -5.24
  1947   4.26  -0.74 -10.73   0.80   3.39  -1.85
  1948   3.16  -5.91 -15.60  13.49   1.99 -10.46
  1949  31.78  17.64   9.48  27.05  22.84  17.51
  1950  58.90  43.99  28.00  34.70  29.62  26.32
  1951  20.50  14.76   2.94  28.28  20.26   8.46
  1952  11.63   9.79  -0.72  17.95  13.57   6.57
  1953  -3.48  -2.71  -8.48  -1.32   1.27  -2.32
  1954  81.36  54.82  44.60  62.35  50.08  48.04
  1955  26.95  23.54  12.78  25.12  19.73  13.25
  1956   5.04   7.81   1.99   8.54   9.67   5.87
  1957 -19.88 -12.78 -21.07 -16.88  -8.98  -9.44
  1958  96.70  65.75  45.29  68.17  52.59  39.73
  1959  22.02  18.63  13.71  17.43  15.10   8.85
  1960  -1.11  -3.06  -9.41   1.94   3.22   1.31
  1961  42.19  35.30  18.65  33.11  28.93  18.36
  1962 -17.60 -13.90 -27.54  -7.56 -11.28 -19.02
  1963  24.25  13.89   1.08  30.43  17.12   9.42
  1964  26.65  21.50   6.89  17.26  18.13  13.13
  1965  54.08  42.06  32.05  26.92  19.80  23.80
  1966   0.92  -9.18 -15.65   4.94  -7.53  -9.92
  1967 128.06  98.40  90.24  45.72  28.53  34.42
  1968  65.99  55.91  41.58  26.39  20.19   8.97
  1969 -26.72 -31.02 -34.05 -12.16 -11.73 -18.71
  1970  -4.57  -9.89 -29.43  -1.45  -1.15  -5.60
  1971  35.94  18.93   6.34  24.62  18.15  14.58
  1972  10.00   3.29  -8.79  16.48   9.92  10.75
  1973 -32.25 -42.41 -49.76 -26.35 -24.89 -21.88
  1974  -7.54 -29.13 -39.64 -19.01 -27.49 -33.61
  1975 115.83  66.75  30.75  66.97  48.29  32.60
  1976  78.02  47.13  36.72  40.23  32.27  29.18
  1977  43.98  29.12  17.23   2.49   0.27   0.86
  1978  49.26  29.69  14.27  20.08   8.88   0.98
  1979  60.87  42.61  29.40  37.18  26.39  30.43
  1980  55.42  39.50  37.69  43.59  32.70  28.63
  1981   0.23   5.07  -7.67   3.88   3.93  -2.84
  1982  32.35  26.36  14.64  23.18  27.40  20.92
  1983  49.48  47.90  27.11  37.95  25.72  12.81
  1984 -10.06 -10.23 -21.55   9.12   1.85  -3.06
  1985  23.38  31.73  20.03  36.03  37.95  24.42
  1986   7.51   8.58  -2.63  17.14  16.78  16.27
  1987  -8.94  -6.14 -17.25   8.01   3.32  -8.69
  1988  29.11  21.54   6.22  34.39  23.46   7.77
  1989   7.56  10.44   7.43  21.39  30.89  24.87
  1990 -19.68 -23.30 -29.36 -17.07 -10.93  -0.96
  1991  74.74  48.10  46.45  40.25  39.45  35.60
  1992  38.63  27.84  19.99  10.28  17.33  19.78
  1993  36.70  27.70  16.93  15.11  13.12  13.91
  1994  -3.35  -2.52 -10.83  -0.01  -0.38  -3.13
  1995  38.66  26.86  24.95  37.10  36.65  29.66
  1996  19.52  19.19  13.19  23.69  18.55  10.20
  1997  21.20  30.66  12.26  28.61  31.31  12.37
  1998   6.23  -8.84 -21.36  13.32  14.48   0.29
  1999  52.92  12.02  38.68  21.22   9.82  42.40
  2000 -27.09  -2.83 -11.22 -14.11  14.39  -5.05
  2001  50.08  34.22   0.67  10.28  -2.00 -23.46
  2002  -9.49  -3.89 -20.80 -16.69 -13.99 -31.11
  2003  95.11  65.93  96.72  51.57  34.05  34.72
  2004  26.23  22.64  19.22  21.11  17.07  13.37
  2005   1.61   5.31   1.43   9.21  10.54  12.61
  2006  18.58  18.41  14.06  16.01  14.51  12.59
  2007 -14.36  -8.44  -4.87  -7.55   7.12  15.35
  2008 -47.92 -43.57 -48.93 -49.25 -33.69 -38.06
  2009  97.34  56.79  64.58  45.92  38.15  39.01
  2010  36.49  30.28  19.08  27.97  25.65  17.65
  2011 -14.85  -7.43 -14.24  -5.70   0.78   2.07
  2012  21.80  19.24  15.87  20.27  16.11  14.01
  2013  49.01  45.25  49.18  40.05  37.94  38.22
  2014  -0.04   6.07  -0.29  -2.40  15.49  11.27


  Number of Firms in Portfolios
               Small                 Big         
          Low     2    High    Low     2    High 
192602     77     72     88     67    120     52
192603     93     79     65     52    114     79
192604    107     90     48     40    106     99
192605    102     72     73     47    127     72
192606    104     77     71     46    124     77
192607     97     71     73     48    128     73
192608    106     73     65     42    124     84
192609    101     76     77     51    126     76
192610     97     90     67     54    115     84
192611    105     69     79     49    135     72
192612    116     70     71     38    136     84
192701     98     73     85     56    132     71
192702     98     74     86     56    134     68
192703     94     78     89     62    129     68
192704    104     94     60     54    114     94
192705     93     87     81     65    123     76
192706    111     66     84     45    146     74
192707    105     77     82     55    136     76
192708    106     80     76     51    133     84
192709    111     81     75     50    135     85
192710    116     91     67     47    128     94
192711     97     99     79     68    139     69
192712    100     79     98     67    143     70
192801    107     92     82     59    133     84
192802     88     88    104     81    136     63
192803    110     85     85     59    138     82
192804    111     85     84     55    140     83
192805     91     95     94     78    129     74
192806     89     94     93     78    130     75
192807    122     89     70     45    135     99
192808    122     82     81     49    146     89
192809    119     96     74     52    134     99
192810     94    105     89     79    126     83
192811    103     89     97     72    144     76
192812    111     97     84     64    140     87
192901    127    102     62     52    132    111
192902    110    111     75     66    126    103
192903    106    101     89     72    137     90
192904    127     96     82     55    149    100
192905    120     98     88     65    148     93
192906    138    110     59     49    139    127
192907    126    122     68     65    132    122
192908    131    108     78     60    149    113
192909    145    123     59     49    136    136
192910    114    119     82     81    138    109
192911    126    117     80     70    143    111
192912    132    111     92     70    157    108
193001    161    101     78     43    170    127
193002     93    104    144    112    172     60
193003    120    110    113     87    167     92
193004    123    100    121     84    175     88
193005    143    120     89     66    163    115
193006    141    111     86     67    165    115
193007    145    107     91     61    169    114
193008    146     93    112     78    170     99
193009    140    115     89     68    161    120
193010    147    114     84     62    163    122
193011    126    114    102     82    165    103
193012    135     99    112     75    175     96
193101    160    113     71     50    164    136
193102     87    114    145    119    166     64
193103    104    119    127    102    162     83
193104    126    118    100     86    157    104
193105    148    122     75     59    157    132
193106    120    122    105     96    153    100
193107    112    110    123     94    170     86
193108    127    118    102     87    154    104
193109    150    102     89     55    170    117
193110    128    111    102     77    165    101
193111    140     99    105     80    162    102
193112    125    113    105     79    164    100
193201    150    122     73     56    154    134
193202     99    109    139    108    171     69
193203    132    120     93     75    154    117
193204    127    110    101     78    165    101
193205    134    113     90     68    159    111
193206    103    113    117     97    159     83
193207    126    113    101     77    157    103
193208    127    102    108     77    171     96
193209     79    123    137    125    149     68
193210    144    124     74     62    149    130
193211    122    133     85     84    140    116
193212    129    100    107     72    172     95
193301    159    127     53     45    143    151
193302    113    112    111     90    158     93
193303    119    110    107     81    163     90
193304    153     72    108     89    153     92
193305    124    104    106     74    166     95
193306     47    122    163    152    144     38
193307    114     91    130     86    177     70
193308    124    104    102     76    163     96
193309    136    131     67     64    134    134
193310    141    123     73     61    145    128
193311    130    124     84     72    146    119
193312    144    103     88     66    158    115
193401    132    111     96     70    159    108
193402     57    117    164    145    155     40
193403    101    105    133    104    164     70
193404    136    106     98     68    165    106
193405    120    109    111     84    163     93
193406    138    134     70     66    138    134
193407    158    106     72     45    162    131
193408    145    146     47     59    122    156
193409    107    104    131     97    167     73
193410    134    111     91     67    161    113
193411    128    120     91     74    153    113
193412    118     97    126     86    176     78
193501    123    100    117     80    174     87
193502    113    117    105     92    161     86
193503    150    122     62     51    145    137
193504    147    111     76     55    156    126
193505    115     98    123     87    171     81
193506    140     97    102     63    175    100
193507    172     81     82     56    156    122
193508    103    113    119     98    155     81
193509     91    101    147    113    169     56
193510    138     91    108     66    180     95
193511    122    105    113     83    168     89
193512     71    120    148    132    151     56
193601    128    114    100     78    159    105
193602     90    105    148    116    171     58
193603    112    121    107     93    152     99
193604    126    113    104     81    161    103
193605    172    107     66     37    172    142
193606    121    113    116     90    173     88
193607    144    114     92     67    167    117
193608    118    129    105     91    154    107
193609    128    115    110     84    166    102
193610    102    115    135    110    167     75
193611    117    119    117     94    162     95
193612    104    111    136    108    171     77
193701    121    121    112     94    163     98
193702     92    127    136    123    159     78
193703    129    120    110     88    168    105
193704    127    127    107     89    165    109
193705    155    132     77     64    161    140
193706    131    137     96     89    156    123
193707    163    135     68     58    159    151
193708    115    131    125    108    164     98
193709    140    118    112     83    181    111
193710    156    154     66     70    146    160
193711    127    149    103    100    154    122
193712    150    141     84     75    162    140
193801    164    142     70     62    158    156
193802     96    136    145    131    167     79
193803    142    126    108     82    176    118
193804    169    138     69     59    165    153
193805     82    143    152    143    162     75
193806    153    138     91     78    165    136
193807    105    151    122    124    154    101
193808     91    140    144    132    163     84
193809    163    134     81     64    168    146
193810    158    136     83     65    167    144
193811     93    142    140    131    160     86
193812    160    119     92     62    180    134
193901    159    119     98     66    181    126
193902    125    145    105    101    154    121
193903    132    126    119     93    174    107
193904    135    157     83     90    144    141
193905    128    117    129     97    182     96
193906    134    111    129     89    192     95
193907    146    143     86     78    156    138
193908    121    133    120    103    168    105
193909    150    138     86     75    164    137
193910     90    137    147    135    164     76
193911    145    124    105     80    176    120
193912    166    124     84     59    176    141
194001    158    122     93     68    178    131
194002    126    139    114    101    162    112
194003    118    118    144    110    185     84
194004    143    114    123     86    189    105
194005    128    118    132     97    186     97
194006    157    143     80     71    160    148
194007    139    128    115     90    176    114
194008    163    101    114     95    173    114
194009    136    124    120     93    180    108
194010    141     98    141    104    190     88
194011    141    118    123    100    177    105
194012    122    126    133    107    180     96
194101    168    113    102     62    194    127
194102    104    136    142    128    169     86
194103    159    119    105     71    188    125
194104    127    127    128    104    181    102
194105    151    117    119     81    191    113
194106    140    128    118     94    179    114
194107    137    106    143     95    202     89
194108    104    118    163    127    190     69
194109    151    117    118     81    192    113
194110    157    118    111     75    192    121
194111    152    126    108     81    184    123
194112    157    131    100     77    178    132
194201    177    141     70     56    168    163
194202     68    147    173    166    163     60
194203    132    131    125    103    178    107
194204    122    136    128    111    175    103
194205    136    130    124     99    181    109
194206    158    139     94     78    173    140
194207    133    144    111    101    167    123
194208    150    114    127     84    198    107
194209    169     93    129    137    148    105
194210    139    112    139    108    188     95
194211    119    123    149    115    192     83
194212    145    133    111     90    179    121
194301    189    106     95     74    178    137
194302     68    137    183    166    174     51
194303     99    132    160    136    179     74
194304    111    123    157    124    188     78
194305    123    119    147    110    193     87
194306    117    128    144    116    185     88
194307    138    137    114     96    174    119
194308    143    142    104     90    170    130
194309    157    132    100     78    179    135
194310    128    130    133    108    184    101
194311    131    130    133    109    181    101
194312    166    134     94     70    179    143
194401    109    148    135    126    167    100
194402     89    141    164    146    175     72
194403    114    135    145    123    182     92
194404    128    128    141    111    190     97
194405    140    141    116     99    177    122
194406    120    147    129    119    172    108
194407    103    135    158    135    183     80
194408    135    133    128    104    184    110
194409    129    140    128    110    178    111
194410    136    138    123    102    181    117
194411    128    148    123    111    172    117
194412    122    151    125    117    169    114
194501    113    149    134    126    170    106
194502    115    141    146    141    167     95
194503    105    163    136    137    160    106
194504    168    137     97     74    186    145
194505    141    140    125    103    183    119
194506    117    152    137    127    172    106
194507    100    161    145    145    165    100
194508    154    154    100     92    173    145
194509    125    171    112    120    157    134
194510    133    146    129    113    181    118
194511    121    145    143    126    183    102
194512    104    162    142    144    164    104
194601    127    142    141    120    188    105
194602    121    141    152    128    191     97
194603    155    141    124     97    194    126
194604    156    156    108     96    179    144
194605    137    156    129    116    181    124
194606    141    153    128    112    186    126
194607    150    155    121    106    187    135
194608    160    160    106     96    182    151
194609    166    160    106     94    187    151
194610    183    173     78     78    175    182
194611    154    156    125    112    188    137
194612    149    163    124    113    187    138
194701    166    162    111     98    190    152
194702    109    167    167    157    186     98
194703    135    166    142    130    190    124
194704    170    164    110     97    191    157
194705    187    162     97     80    196    171
