This file was created by CMPT_IND_RETS using the 201507 CRSP database.
It contains value- and equal-weighted returns for 10 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
194707,    147,     58,    297,     51,     43,      7,     84,     18,     47,    146
194708,    147,     58,    297,     51,     43,      7,     84,     18,     47,    146
194709,    147,     58,    297,     51,     43,      7,     84,     18,     47,    146
194710,    147,     58,    297,     51,     43,      7,     84,     18,     46,    146
194711,    147,     58,    297,     51,     43,      7,     84,     18,     46,    146
194712,    147,     58,    297,     51,     43,      7,     84,     18,     46,    146
194801,    147,     58,    297,     51,     43,      7,     84,     18,     46,    146
194802,    147,     58,    297,     51,     43,      7,     84,     18,     46,    146
194803,    147,     58,    297,     51,     43,      7,     84,     18,     46,    146
194804,    147,     58,    297,     51,     43,      7,     84,     18,     46,    146
194805,    147,     58,    297,     51,     43,      7,     84,     18,     46,    146
194806,    147,     58,    297,     51,     43,      7,     84,     18,     46,    146
194807,    152,     63,    307,     53,     44,      7,     85,     18,     52,    154
194808,    152,     63,    307,     53,     44,      7,     85,     18,     52,    154
194809,    152,     63,    306,     53,     44,      7,     85,     18,     52,    154
194810,    152,     63,    306,     53,     44,      7,     85,     18,     52,    154
194811,    152,     63,    306,     53,     44,      7,     85,     18,     52,    154
194812,    152,     63,    306,     53,     44,      7,     85,     18,     52,    154
194901,    152,     63,    306,     53,     44,      7,     85,     18,     52,    154
194902,    152,     63,    306,     53,     44,      7,     85,     18,     52,    154
194903,    152,     63,    306,     53,     44,      7,     85,     18,     52,    154
194904,    152,     63,    306,     53,     44,      7,     85,     18,     52,    154
194905,    152,     63,    306,     53,     44,      7,     85,     18,     52,    154
194906,    152,     63,    306,     53,     44,      7,     85,     18,     52,    154
194907,    153,     64,    313,     55,     45,      8,     87,     18,     57,    158
194908,    153,     64,    313,     55,     45,      8,     87,     18,     57,    158
194909,    153,     64,    313,     55,     45,      8,     87,     18,     57,    158
194910,    153,     64,    313,     55,     45,      8,     87,     18,     57,    158
194911,    153,     64,    313,     55,     45,      8,     87,     18,     57,    158
194912,    153,     64,    313,     55,     45,      8,     87,     18,     57,    157
195001,    153,     64,    313,     55,     45,      8,     85,     18,     57,    157
195002,    153,     64,    313,     55,     45,      8,     85,     18,     57,    157
195003,    153,     64,    313,     55,     45,      8,     85,     18,     57,    157
195004,    153,     64,    313,     55,     45,      8,     85,     18,     57,    157
195005,    153,     64,    313,     55,     44,      8,     85,     18,     57,    157
195006,    153,     64,    313,     54,     44,      8,     85,     18,     57,    157
195007,    153,     65,    313,     57,     44,      8,     85,     18,     73,    159
195008,    153,     65,    313,     57,     44,      8,     85,     18,     73,    159
195009,    153,     65,    313,     57,     44,      8,     85,     18,     73,    159
195010,    153,     65,    313,     57,     44,      8,     85,     18,     73,    159
195011,    153,     65,    313,     57,     44,      8,     85,     18,     73,    159
195012,    153,     64,    312,     57,     44,      8,     85,     18,     73,    159
195101,    153,     64,    312,     57,     44,      8,     85,     18,     73,    158
195102,    153,     64,    312,     57,     44,      8,     85,     18,     73,    158
195103,    153,     64,    312,     57,     44,      8,     85,     18,     73,    158
195104,    153,     64,    312,     57,     44,      8,     85,     18,     73,    158
195105,    153,     64,    312,     57,     44,      8,     85,     18,     73,    158
195106,    153,     64,    312,     57,     44,      8,     85,     18,     73,    158
195107,    156,     65,    318,     59,     46,      8,     86,     19,     85,    161
195108,    155,     65,    318,     59,     46,      8,     86,     19,     85,    161
195109,    155,     65,    317,     59,     46,      8,     86,     19,     85,    161
195110,    155,     65,    317,     59,     46,      8,     86,     19,     85,    161
195111,    155,     65,    316,     59,     46,      8,     86,     19,     84,    161
195112,    155,     65,    316,     59,     46,      8,     86,     19,     84,    161
195201,    155,     65,    316,     59,     46,      8,     86,     19,     84,    161
195202,    155,     65,    316,     59,     46,      8,     86,     19,     84,    161
195203,    155,     65,    316,     59,     46,      8,     86,     19,     84,    160
195204,    154,     65,    316,     59,     46,      8,     86,     19,     84,    160
195205,    154,     65,    316,     59,     46,      8,     86,     19,     84,    160
195206,    154,     65,    316,     59,     46,      8,     86,     19,     84,    160
195207,    156,     66,    323,     60,     49,      8,     87,     19,     84,    160
195208,    156,     66,    323,     60,     49,      8,     87,     19,     84,    160
195209,    156,     66,    323,     60,     49,      8,     87,     19,     84,    160
195210,    156,     66,    323,     60,     49,      8,     87,     18,     84,    160
195211,    156,     66,    322,     60,     49,      8,     87,     18,     84,    160
195212,    156,     66,    322,     60,     49,      8,     87,     18,     84,    160
195301,    156,     66,    322,     60,     49,      8,     87,     18,     84,    160
195302,    156,     66,    322,     60,     49,      7,     86,     18,     84,    160
195303,    154,     66,    322,     60,     48,      7,     86,     18,     84,    160
195304,    154,     66,    322,     60,     48,      7,     86,     18,     84,    160
195305,    154,     66,    321,     60,     48,      7,     86,     17,     84,    157
195306,    154,     66,    321,     60,     48,      7,     86,     17,     84,    157
195307,    154,     65,    329,     60,     50,      8,     88,     18,     88,    161
195308,    153,     65,    329,     60,     50,      8,     88,     18,     88,    161
195309,    152,     65,    329,     60,     50,      8,     87,     18,     88,    161
195310,    152,     64,    329,     60,     50,      8,     87,     18,     88,    161
195311,    152,     64,    328,     60,     50,      8,     87,     18,     88,    161
195312,    152,     64,    328,     60,     50,      8,     87,     18,     88,    161
195401,    152,     64,    328,     60,     50,      8,     87,     18,     88,    161
195402,    152,     64,    328,     60,     50,      8,     87,     18,     88,    161
195403,    152,     64,    328,     60,     50,      8,     87,     18,     88,    161
195404,    152,     64,    327,     60,     50,      8,     87,     18,     88,    161
195405,    152,     63,    325,     60,     50,      8,     87,     18,     88,    161
195406,    152,     63,    325,     60,     50,      8,     87,     18,     88,    161
195407,    152,     62,    332,     60,     50,      9,     87,     18,     91,    162
195408,    152,     62,    332,     59,     50,      9,     87,     18,     91,    162
195409,    152,     62,    332,     59,     50,      9,     87,     18,     91,    162
195410,    152,     61,    331,     59,     50,      9,     87,     18,     91,    160
195411,    152,     61,    331,     58,     50,      9,     87,     18,     91,    160
195412,    152,     61,    331,     58,     50,      9,     87,     18,     91,    160
195501,    152,     61,    331,     58,     50,      9,     87,     18,     90,    160
195502,    150,     61,    330,     58,     50,      9,     87,     18,     90,    160
195503,    150,     61,    328,     58,     50,      9,     87,     18,     90,    160
195504,    150,     61,    328,     58,     50,      9,     87,     17,     90,    159
195505,    150,     61,    328,     57,     49,      9,     87,     17,     90,    158
195506,    150,     61,    328,     57,     49,      9,     87,     17,     90,    158
195507,    152,     62,    339,     59,     49,      9,     88,     17,     93,    159
195508,    152,     62,    338,     58,     49,      9,     88,     17,     93,    158
195509,    152,     61,    337,     57,     49,      9,     88,     17,     93,    158
195510,    152,     60,    337,     56,     49,      9,     88,     17,     93,    158
195511,    152,     60,    337,     56,     49,      9,     88,     17,     93,    158
195512,    152,     59,    335,     56,     49,      9,     87,     17,     93,    158
195601,    151,     58,    335,     56,     49,      9,     87,     17,     93,    158
195602,    151,     58,    335,     56,     49,      9,     86,     17,     93,    158
195603,    151,     58,    335,     56,     49,      9,     86,     17,     93,    158
195604,    151,     58,    335,     56,     49,      9,     86,     17,     93,    158
195605,    149,     58,    335,     56,     49,      9,     86,     17,     93,    158
195606,    149,     58,    334,     56,     49,      9,     86,     17,     93,    156
195607,    150,     57,    344,     57,     50,     10,     87,     17,     94,    158
195608,    149,     57,    344,     56,     50,     10,     87,     17,     94,    157
195609,    149,     57,    343,     56,     50,     10,     87,     17,     94,    156
195610,    149,     57,    341,     55,     50,     10,     87,     17,     94,    156
195611,    148,     57,    341,     55,     50,     10,     87,     17,     94,    156
195612,    148,     57,    341,     55,     50,     10,     87,     17,     94,    156
195701,    148,     57,    338,     54,     50,     10,     87,     17,     94,    156
195702,    148,     57,    338,     54,     50,     10,     87,     17,     94,    156
195703,    148,     57,    338,     54,     50,     10,     87,     17,     94,    156
195704,    148,     56,    338,     54,     50,     10,     87,     17,     94,    156
195705,    147,     55,    337,     54,     50,     10,     87,     17,     94,    156
195706,    147,     54,    335,     54,     50,     10,     87,     17,     94,    156
195707,    150,     56,    347,     56,     59,     10,     87,     17,     95,    160
195708,    149,     56,    346,     56,     58,     10,     87,     17,     95,    160
195709,    149,     56,    345,     56,     58,     10,     87,     17,     95,    159
195710,    148,     56,    345,     56,     58,      9,     86,     17,     95,    159
195711,    148,     56,    345,     56,     57,      9,     86,     17,     95,    159
195712,    148,     56,    343,     56,     57,      9,     86,     17,     95,    157
195801,    148,     56,    341,     56,     57,      9,     86,     17,     95,    157
195802,    148,     56,    341,     56,     57,      9,     85,     17,     95,    157
195803,    147,     56,    339,     56,     57,      9,     84,     17,     95,    156
195804,    147,     56,    339,     56,     57,      9,     84,     17,     95,    156
195805,    146,     56,    338,     56,     57,      9,     84,     17,     95,    156
195806,    146,     55,    337,     55,     57,      9,     84,     17,     95,    156
195807,    147,     51,    347,     55,     63,      9,     83,     20,     97,    167
195808,    147,     51,    346,     55,     63,      9,     83,     20,     97,    166
195809,    147,     51,    345,     55,     63,      9,     83,     20,     97,    164
195810,    147,     51,    344,     55,     63,      9,     83,     20,     97,    162
195811,    147,     51,    344,     55,     63,      9,     83,     20,     97,    162
195812,    147,     50,    343,     55,     63,      9,     83,     20,     97,    162
195901,    147,     50,    343,     55,     63,      9,     83,     20,     97,    162
195902,    147,     50,    343,     55,     63,      9,     81,     20,     97,    162
195903,    147,     50,    342,     55,     62,      9,     80,     20,     97,    160
195904,    147,     50,    341,     55,     62,      9,     80,     20,     97,    158
195905,    147,     50,    341,     55,     62,      9,     80,     20,     97,    158
195906,    147,     50,    341,     55,     62,      9,     80,     20,     97,    157
195907,    152,     49,    347,     52,     68,     10,     83,     22,    101,    160
195908,    152,     49,    347,     52,     68,     10,     83,     22,    101,    159
195909,    152,     49,    347,     52,     68,     10,     83,     22,    101,    159
195910,    151,     49,    347,     52,     67,     10,     83,     22,    101,    159
195911,    151,     49,    346,     52,     67,     10,     83,     22,    101,    159
195912,    151,     49,    346,     52,     66,     10,     83,     22,    101,    158
196001,    151,     49,    346,     52,     65,     10,     83,     22,    101,    158
196002,    151,     49,    346,     52,     65,     10,     83,     22,    101,    157
196003,    150,     49,    346,     52,     65,     10,     83,     22,    101,    157
196004,    149,     49,    345,     52,     65,     10,     83,     22,    101,    156
196005,    149,     49,    343,     52,     64,     10,     83,     22,    101,    156
196006,    149,     49,    343,     52,     64,     10,     83,     22,    101,    156
196007,    151,     49,    358,     52,     73,     10,     90,     23,    102,    164
196008,    151,     49,    358,     52,     73,     10,     89,     23,    102,    164
196009,    151,     49,    358,     52,     73,     10,     89,     23,    101,    164
196010,    148,     49,    358,     52,     73,     10,     89,     23,    101,    163
196011,    147,     49,    358,     52,     73,     10,     89,     23,    101,    162
196012,    146,     49,    358,     52,     73,     10,     89,     23,    101,    162
196101,    144,     49,    357,     52,     73,     10,     89,     22,    101,    162
196102,    141,     49,    357,     52,     73,     10,     89,     22,    101,    161
196103,    141,     49,    357,     51,     73,     10,     89,     22,    101,    161
196104,    140,     49,    357,     50,     73,     10,     89,     22,    101,    161
196105,    140,     49,    357,     50,     73,     10,     89,     22,    101,    161
196106,    140,     49,    357,     50,     73,     10,     88,     22,    101,    160
196107,    145,     51,    370,     50,     80,     10,     93,     23,    104,    165
196108,    144,     51,    369,     50,     80,     10,     93,     23,    104,    163
196109,    144,     50,    369,     50,     80,     10,     93,     23,    104,    162
196110,    144,     50,    368,     50,     80,     10,     92,     23,    104,    162
196111,    144,     50,    368,     50,     80,      9,     92,     23,    104,    161
196112,    144,     50,    368,     49,     79,      9,     92,     23,    104,    160
196201,    144,     50,    367,     49,     79,      9,     92,     23,    104,    160
196202,    143,     50,    366,     48,     79,      9,     92,     23,    104,    160
196203,    143,     50,    366,     48,     79,      9,     92,     23,    104,    160
196204,    143,     50,    363,     47,     79,      9,     92,     23,    104,    159
196205,    143,     50,    363,     46,     79,      9,     91,     23,    104,    159
196206,    143,     50,    363,     45,     78,      9,     91,     23,    103,    159
196207,    147,     51,    378,     51,     86,     12,     96,     23,    104,    164
196208,    147,     51,    378,     51,     86,     12,     96,     23,    104,    164
196209,    147,     51,    377,     51,     86,     12,     96,     23,    104,    164
196210,    146,     51,    377,     51,     86,     12,     96,     23,    104,    164
196211,    145,     51,    376,     51,     86,     12,     96,     23,    104,    164
196212,    145,     51,    375,     51,     86,     12,     96,     23,    104,    164
196301,    145,     51,    375,     51,     86,     12,     96,     23,    104,    163
196302,    145,     51,    374,     51,     86,     12,     96,     23,    104,    163
196303,    145,     51,    374,     51,     86,     12,     95,     23,    104,    163
196304,    145,     51,    373,     51,     86,     12,     95,     23,    104,    162
196305,    145,     50,    372,     50,     85,     12,     94,     23,    104,    161
196306,    145,     50,    371,     50,     84,     12,     94,     23,    104,    161
196307,    250,    115,    625,    120,    132,     22,    190,     36,    118,    350
196308,    249,    115,    624,    120,    132,     22,    190,     36,    118,    346
196309,    247,    115,    622,    120,    132,     22,    190,     36,    115,    346
196310,    246,    115,    620,    119,    131,     22,    190,     36,    115,    343
196311,    245,    115,    619,    118,    131,     22,    190,     36,    115,    342
196312,    244,    114,    614,    117,    131,     22,    189,     36,    114,    341
196401,    244,    113,    609,    117,    131,     22,    189,     36,    113,    341
196402,    244,    113,    608,    117,    131,     22,    189,     36,    113,    341
196403,    242,    113,    605,    117,    131,     22,    189,     36,    113,    340
196404,    242,    113,    603,    117,    131,     21,    188,     36,    113,    338
196405,    241,    113,    599,    117,    130,     21,    186,     36,    113,    337
196406,    240,    113,    597,    116,    130,     21,    186,     36,    113,    337
196407,    259,    119,    630,    119,    144,     22,    204,     38,    117,    349
196408,    259,    119,    629,    119,    144,     22,    203,     38,    117,    348
196409,    258,    119,    624,    119,    144,     22,    202,     38,    117,    347
196410,    258,    119,    622,    118,    144,     22,    202,     38,    117,    344
196411,    258,    118,    621,    117,    144,     22,    202,     38,    117,    343
196412,    257,    117,    619,    116,    142,     22,    202,     38,    117,    343
196501,    257,    117,    616,    114,    141,     22,    201,     38,    117,    342
196502,    256,    116,    614,    113,    141,     22,    199,     38,    117,    341
196503,    255,    116,    612,    113,    138,     22,    199,     38,    117,    338
196504,    255,    115,    609,    113,    138,     22,    198,     38,    117,    338
196505,    255,    115,    607,    113,    138,     22,    197,     38,    117,    335
196506,    253,    115,    606,    112,    138,     22,    197,     38,    117,    334
196507,    268,    119,    638,    113,    151,     25,    215,     39,    119,    361
196508,    268,    119,    637,    112,    150,     25,    214,     39,    119,    360
196509,    267,    119,    633,    112,    149,     25,    211,     39,    119,    359
196510,    266,    117,    630,    112,    149,     25,    209,     39,    119,    358
196511,    266,    117,    628,    112,    149,     25,    208,     39,    119,    356
196512,    263,    117,    626,    112,    148,     25,    208,     39,    119,    356
196601,    262,    117,    624,    111,    147,     25,    206,     38,    119,    353
196602,    260,    117,    618,    111,    147,     25,    206,     38,    119,    351
196603,    260,    117,    617,    111,    147,     25,    205,     38,    119,    351
196604,    258,    117,    615,    110,    147,     25,    204,     38,    119,    351
196605,    255,    117,    613,    109,    146,     25,    201,     38,    119,    350
196606,    253,    116,    611,    108,    146,     25,    200,     38,    119,    349
196607,    274,    118,    639,    110,    159,     26,    215,     39,    122,    364
196608,    274,    118,    638,    110,    158,     26,    215,     39,    122,    360
196609,    274,    118,    638,    109,    158,     26,    215,     39,    122,    359
196610,    274,    118,    635,    108,    158,     26,    214,     39,    122,    357
196611,    274,    117,    632,    108,    158,     26,    211,     39,    122,    355
196612,    272,    117,    630,    108,    157,     26,    210,     39,    122,    351
196701,    271,    116,    629,    108,    157,     26,    210,     39,    122,    349
196702,    270,    116,    627,    108,    157,     26,    210,     39,    122,    348
196703,    270,    116,    625,    107,    155,     26,    208,     39,    122,    348
196704,    268,    116,    624,    107,    153,     26,    208,     39,    122,    346
196705,    266,    115,    620,    106,    152,     25,    206,     39,    122,    343
196706,    264,    113,    617,    106,    152,     25,    206,     39,    122,    341
196707,    274,    121,    653,    108,    166,     26,    213,     40,    125,    351
196708,    272,    120,    650,    107,    166,     26,    213,     40,    125,    349
196709,    271,    118,    641,    107,    165,     26,    212,     40,    125,    347
196710,    269,    118,    637,    106,    164,     24,    210,     40,    125,    346
196711,    268,    116,    634,    106,    164,     23,    209,     40,    125,    345
196712,    267,    116,    629,    105,    163,     23,    207,     39,    125,    344
196801,    264,    116,    619,    104,    162,     22,    206,     38,    124,    342
196802,    264,    115,    615,    104,    161,     22,    205,     38,    124,    339
196803,    262,    115,    614,    104,    161,     22,    204,     38,    124,    337
196804,    260,    115,    611,    103,    161,     22,    203,     38,    123,    334
196805,    258,    114,    606,    103,    161,     22,    203,     38,    123,    333
196806,    254,    114,    599,     99,    160,     22,    201,     38,    123,    330
196807,    266,    123,    633,    101,    185,     25,    216,     44,    126,    346
196808,    265,    123,    631,    101,    185,     25,    216,     44,    126,    344
196809,    263,    123,    627,    101,    184,     25,    216,     44,    126,    341
196810,    262,    122,    620,    100,    183,     25,    214,     44,    126,    341
196811,    262,    121,    615,    100,    182,     25,    212,     44,    126,    340
196812,    259,    121,    608,     99,    182,     25,    212,     44,    126,    338
196901,    259,    120,    604,     99,    182,     25,    207,     44,    126,    335
196902,    258,    118,    599,     99,    181,     25,    207,     44,    126,    334
196903,    258,    117,    598,     98,    180,     25,    206,     44,    126,    330
196904,    255,    117,    597,     98,    179,     24,    205,     44,    126,    329
196905,    255,    117,    593,     98,    177,     24,    204,     44,    126,    328
196906,    254,    115,    592,     97,    177,     24,    204,     44,    126,    325
196907,    279,    128,    623,    100,    202,     26,    233,     49,    132,    375
196908,    279,    127,    621,    100,    200,     26,    233,     49,    132,    374
196909,    278,    127,    619,    100,    200,     26,    232,     49,    132,    370
196910,    278,    127,    618,    100,    199,     26,    232,     49,    132,    370
196911,    278,    126,    616,     98,    198,     26,    232,     49,    132,    369
196912,    276,    125,    615,     98,    196,     26,    229,     49,    132,    369
197001,    276,    125,    613,     98,    196,     26,    227,     49,    132,    369
197002,    275,    125,    611,     98,    196,     26,    227,     49,    132,    369
197003,    275,    125,    611,     98,    196,     26,    227,     49,    132,    365
197004,    275,    125,    609,     98,    194,     26,    227,     49,    132,    362
197005,    275,    124,    604,     98,    194,     26,    226,     49,    132,    362
197006,    273,    124,    604,     97,    193,     26,    224,     49,    132,    361
197007,    303,    134,    629,    105,    198,     27,    251,     53,    135,    409
197008,    303,    133,    627,    105,    197,     27,    250,     53,    135,    407
197009,    303,    133,    627,    105,    195,     26,    250,     53,    135,    406
197010,    303,    133,    625,    104,    195,     26,    250,     53,    135,    406
197011,    303,    132,    624,    104,    194,     26,    249,     52,    135,    405
197012,    302,    132,    619,    103,    193,     26,    247,     52,    135,    403
197101,    300,    132,    618,    103,    193,     26,    245,     51,    135,    402
197102,    298,    132,    617,    102,    193,     26,    244,     51,    135,    401
197103,    297,    132,    617,    101,    192,     26,    243,     51,    135,    398
197104,    296,    132,    614,    101,    190,     26,    242,     51,    135,    398
197105,    295,    132,    610,    101,    188,     25,    242,     51,    135,    395
197106,    293,    132,    608,    101,    186,     25,    242,     51,    135,    393
197107,    312,    136,    624,    106,    195,     27,    266,     60,    140,    442
197108,    311,    136,    623,    106,    195,     27,    266,     60,    140,    441
197109,    311,    136,    623,    106,    193,     27,    266,     60,    140,    441
197110,    311,    136,    623,    106,    193,     27,    266,     60,    140,    441
197111,    311,    135,    621,    106,    193,     27,    266,     60,    139,    441
197112,    311,    135,    620,    106,    192,     27,    266,     60,    139,    439
197201,    310,    135,    615,    106,    191,     27,    266,     60,    139,    439
197202,    310,    135,    615,    106,    191,     27,    266,     60,    139,    438
197203,    309,    134,    614,    106,    190,     27,    266,     60,    139,    436
197204,    308,    134,    613,    105,    189,     27,    266,     60,    139,    433
197205,    308,    134,    612,    104,    189,     27,    266,     60,    139,    430
197206,    308,    134,    611,    104,    188,     27,    265,     60,    139,    427
197207,    339,    140,    630,    109,    195,     27,    290,     70,    143,    488
197208,    335,    139,    629,    109,    195,     27,    289,     70,    143,    485
197209,    335,    139,    628,    109,    195,     27,    288,     70,    143,    485
197210,    334,    138,    627,    109,    195,     27,    287,     70,    143,    484
197211,    333,    138,    625,    109,    193,     27,    287,     70,    143,    482
197212,    333,    138,    623,    109,    193,     27,    286,     70,    143,    482
197301,    331,    137,    622,    109,    192,     27,    284,     70,    142,    481
197302,    328,    137,    619,    109,    191,     27,    284,     70,    142,    480
197303,    327,    137,    618,    108,    191,     27,    284,     70,    142,    478
197304,    327,    136,    618,    108,    190,     27,    283,     70,    142,    477
197305,    323,    136,    615,    107,    188,     27,    281,     70,    142,    475
197306,    322,    136,    615,    107,    187,     27,    280,     70,    142,    474
197307,    545,    212,    964,    165,    426,     44,    542,    135,    183,   1924
197308,    540,    210,    960,    164,    423,     44,    538,    135,    183,   1905
197309,    537,    210,    956,    164,    420,     44,    534,    133,    183,   1893
197310,    536,    209,    953,    164,    416,     44,    528,    133,    183,   1882
197311,    532,    204,    942,    162,    408,     44,    522,    133,    183,   1852
197312,    523,    204,    938,    160,    403,     43,    516,    130,    183,   1823
197401,    519,    203,    933,    160,    401,     43,    515,    128,    183,   1809
197402,    517,    202,    930,    160,    398,     43,    513,    128,    183,   1803
197403,    516,    202,    930,    159,    393,     42,    512,    128,    183,   1793
197404,    512,    201,    927,    158,    390,     42,    510,    127,    183,   1787
197405,    506,    200,    919,    158,    387,     42,    506,    125,    182,   1776
197406,    502,    197,    915,    158,    384,     42,    503,    125,    182,   1763
197407,    506,    192,    913,    169,    390,     42,    498,    130,    184,   1742
197408,    502,    189,    910,    168,    384,     42,    496,    129,    184,   1730
197409,    496,    186,    909,    168,    380,     41,    493,    129,    184,   1721
197410,    494,    182,    906,    168,    376,     41,    489,    129,    184,   1710
197411,    492,    180,    902,    167,    374,     41,    488,    129,    182,   1700
197412,    489,    179,    897,    162,    371,     41,    487,    129,    182,   1688
197501,    485,    179,    894,    161,    369,     41,    481,    126,    182,   1678
197502,    484,    179,    893,    160,    367,     41,    481,    125,    182,   1674
197503,    482,    179,    890,    159,    365,     41,    479,    125,    182,   1670
197504,    481,    178,    886,    159,    365,     41,    478,    125,    181,   1661
197505,    481,    177,    885,    159,    364,     41,    478,    125,    181,   1658
197506,    479,    175,    880,    158,    360,     40,    474,    122,    181,   1651
197507,    486,    176,    898,    173,    366,     41,    477,    135,    185,   1662
197508,    484,    174,    892,    173,    364,     41,    477,    135,    185,   1657
197509,    484,    174,    891,    173,    363,     41,    475,    134,    185,   1655
197510,    482,    174,    891,    173,    363,     41,    474,    132,    184,   1647
197511,    480,    174,    889,    172,    362,     41,    470,    132,    184,   1643
197512,    476,    174,    887,    172,    361,     40,    468,    130,    184,   1637
197601,    475,    174,    883,    169,    360,     40,    465,    130,    184,   1629
197602,    473,    174,    879,    168,    360,     40,    464,    130,    184,   1625
197603,    468,    172,    878,    168,    359,     40,    461,    130,    184,   1621
197604,    465,    171,    876,    168,    355,     40,    459,    129,    184,   1615
197605,    464,    171,    870,    165,    354,     40,    458,    129,    184,   1609
197606,    461,    171,    866,    165,    353,     40,    456,    129,    184,   1606
197607,    477,    174,    909,    182,    372,     41,    485,    135,    187,   1670
197608,    474,    172,    902,    182,    372,     41,    481,    135,    187,   1664
197609,    474,    172,    899,    182,    369,     41,    479,    135,    187,   1658
197610,    473,    171,    895,    180,    369,     41,    479,    135,    187,   1655
197611,    472,    171,    892,    179,    367,     41,    477,    134,    187,   1653
197612,    471,    170,    886,    178,    364,     41,    477,    130,    187,   1646
197701,    467,    167,    883,    176,    360,     41,    476,    129,    187,   1640
197702,    465,    166,    880,    174,    358,     41,    475,    128,    187,   1636
197703,    461,    166,    877,    172,    358,     41,    471,    127,    187,   1632
197704,    460,    165,    873,    172,    357,     41,    471,    126,    187,   1629
197705,    456,    165,    866,    169,    356,     41,    470,    124,    187,   1627
197706,    453,    164,    861,    169,    356,     41,    468,    123,    186,   1624
197707,    462,    170,    895,    190,    386,     44,    493,    133,    187,   1677
197708,    458,    168,    893,    187,    383,     44,    488,    132,    187,   1669
197709,    456,    167,    889,    186,    381,     44,    487,    132,    187,   1659
197710,    452,    167,    882,    186,    379,     44,    484,    131,    187,   1653
197711,    451,    167,    880,    184,    377,     44,    481,    130,    187,   1651
197712,    449,    167,    868,    184,    374,     44,    476,    128,    187,   1646
197801,    447,    164,    859,    184,    369,     44,    472,    125,    187,   1631
197802,    443,    164,    856,    184,    368,     44,    470,    125,    187,   1622
197803,    440,    164,    852,    184,    367,     44,    468,    125,    187,   1616
197804,    436,    164,    846,    181,    365,     43,    467,    124,    187,   1613
197805,    431,    164,    835,    178,    363,     43,    463,    123,    187,   1607
197806,    428,    164,    820,    176,    361,     43,    457,    120,    187,   1600
197807,    425,    168,    859,    188,    380,     43,    476,    124,    189,   1664
197808,    419,    165,    855,    185,    378,     43,    474,    124,    188,   1656
197809,    417,    165,    852,    185,    377,     42,    469,    122,    188,   1647
197810,    413,    164,    849,    184,    375,     42,    465,    122,    188,   1638
197811,    413,    164,    844,    184,    374,     41,    461,    122,    188,   1629
197812,    412,    163,    841,    183,    370,     41,    459,    121,    188,   1621
197901,    409,    161,    831,    182,    368,     41,    453,    121,    188,   1611
197902,    405,    160,    828,    179,    367,     41,    452,    120,    188,   1598
197903,    402,    160,    825,    177,    365,     41,    451,    119,    188,   1594
197904,    399,    159,    823,    176,    361,     41,    449,    118,    188,   1581
197905,    398,    158,    820,    175,    360,     40,    449,    117,    188,   1573
197906,    394,    156,    815,    174,    357,     39,    446,    115,    188,   1558
197907,    402,    158,    842,    198,    399,     44,    455,    127,    188,   1646
197908,    398,    158,    835,    197,    399,     43,    453,    126,    187,   1638
197909,    396,    157,    832,    197,    397,     43,    451,    124,    187,   1629
197910,    395,    156,    830,    195,    396,     43,    449,    124,    187,   1625
197911,    393,    154,    827,    194,    392,     42,    446,    124,    187,   1617
197912,    391,    152,    823,    192,    387,     42,    444,    123,    187,   1611
198001,    386,    150,    815,    190,    384,     42,    441,    123,    187,   1591
198002,    384,    148,    811,    190,    382,     42,    439,    122,    187,   1586
198003,    383,    148,    809,    189,    382,     41,    436,    122,    187,   1575
198004,    380,    148,    803,    188,    381,     40,    432,    119,    187,   1568
198005,    377,    147,    801,    187,    378,     39,    430,    117,    186,   1557
198006,    376,    147,    797,    187,    374,     38,    427,    117,    186,   1546
198007,    386,    155,    832,    244,    422,     43,    447,    136,    190,   1639
198008,    385,    154,    828,    243,    418,     43,    446,    135,    189,   1622
198009,    378,    152,    822,    242,    415,     43,    445,    133,    189,   1613
198010,    377,    152,    821,    241,    414,     43,    441,    133,    189,   1604
198011,    376,    152,    817,    240,    411,     43,    440,    132,    189,   1598
198012,    375,    152,    814,    240,    409,     40,    433,    132,    188,   1585
198101,    371,    151,    812,    240,    404,     40,    426,    131,    187,   1577
198102,    368,    149,    808,    237,    403,     40,    423,    130,    187,   1569
198103,    366,    148,    800,    237,    402,     38,    422,    129,    187,   1565
198104,    363,    145,    796,    234,    401,     38,    421,    127,    187,   1559
198105,    361,    144,    792,    233,    401,     38,    419,    126,    187,   1558
198106,    360,    144,    785,    232,    399,     38,    412,    126,    187,   1550
198107,    370,    162,    834,    359,    531,     50,    445,    157,    192,   1735
198108,    365,    162,    830,    358,    531,     49,    443,    157,    191,   1733
198109,    364,    161,    830,    357,    529,     49,    438,    156,    191,   1720
198110,    362,    160,    826,    355,    526,     49,    434,    155,    191,   1710
198111,    360,    159,    823,    354,    524,     47,    431,    155,    191,   1703
198112,    359,    158,    820,    350,    522,     47,    425,    153,    191,   1697
198201,    359,    156,    818,    349,    518,     47,    423,    153,    191,   1684
